"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1,C3";"CP_Radial_Tantal_D9.0mm_P5.00mm";2;"20uF";;;
2;"C2";"CP_Radial_Tantal_D9.0mm_P5.00mm";1;"50uF";;;
3;"P1";"TerminalBlock_Pheonix_PT-3.5mm_2pol";1;"Input";;;
4;"P2";"TerminalBlock_Pheonix_PT-3.5mm_2pol";1;"output";;;
5;"P3";"TerminalBlock_Pheonix_PT-3.5mm_2pol";1;"power";;;
6;"Q1";"TO-92_Inline_Narrow_Oval";1;"BC548";;;
7;"R1";"R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal";1;"22k";;;
8;"R2";"R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal";1;"6.8k";;;
9;"R3";"R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal";1;"4.7k";;;
10;"R4";"R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal";1;"1.8k";;;
